name,playcount,mbid,url,artist/name,artist/mbid,artist/url,image/0/#text,image/0/size,image/1/#text,image/1/size,image/2/#text,image/2/size,image/3/#text,image/3/size,@attr/rank
Stakes Is High,35,8fc6ad98-b37b-48b2-af99-b8cc1efcde39,http://www.last.fm/music/De+La+Soul/Stakes+Is+High,De La Soul,a8ebde98-7e91-46c7-992c-90039ba42017,http://www.last.fm/music/De+La+Soul,http://userserve-ak.last.fm/serve/34s/70397536.jpg,small,http://userserve-ak.last.fm/serve/64s/70397536.jpg,medium,http://userserve-ak.last.fm/serve/126/70397536.jpg,large,http://userserve-ak.last.fm/serve/300x300/70397536.jpg,extralarge,34
In the Future,35,89986e97-3de9-4abc-ba7c-930b8ccd5362,http://www.last.fm/music/Black+Mountain/In+the+Future,Black Mountain,4898b9ad-f564-4ff1-9046-b1a16dfd5200,http://www.last.fm/music/Black+Mountain,http://userserve-ak.last.fm/serve/34s/9658429.jpg,small,http://userserve-ak.last.fm/serve/64s/9658429.jpg,medium,http://userserve-ak.last.fm/serve/126/9658429.jpg,large,http://userserve-ak.last.fm/serve/300x300/9658429.jpg,extralarge,35
Melody's Echo Chamber,35,,http://www.last.fm/music/Melody%27s+Echo+Chamber/Melody%27s+Echo+Chamber,Melody's Echo Chamber,,http://www.last.fm/music/Melody%27s+Echo+Chamber,http://userserve-ak.last.fm/serve/34s/83826069.png,small,http://userserve-ak.last.fm/serve/64s/83826069.png,medium,http://userserve-ak.last.fm/serve/126/83826069.png,large,http://userserve-ak.last.fm/serve/300x300/83826069.png,extralarge,36
Paradise Don't Come Cheap,34,2c8d8faa-9d24-4fc5-aac1-92fbace82334,http://www.last.fm/music/New+Kingdom/Paradise+Don%27t+Come+Cheap,New Kingdom,1e1f9359-2fd2-4b03-b949-bd14aff02d8f,http://www.last.fm/music/New+Kingdom,http://userserve-ak.last.fm/serve/34s/8594079.jpg,small,http://userserve-ak.last.fm/serve/64s/8594079.jpg,medium,http://userserve-ak.last.fm/serve/126/8594079.jpg,large,http://userserve-ak.last.fm/serve/300x300/8594079.jpg,extralarge,37
Sir Lucious Left Foot: The Son of Chico Dusty,33,,http://www.last.fm/music/Big+Boi/Sir+Lucious+Left+Foot:+The+Son+of+Chico+Dusty,Big Boi,9724aa19-fdf9-49d0-9f9d-944e462e2a5c,http://www.last.fm/music/Big+Boi,http://userserve-ak.last.fm/serve/34s/48713699.png,small,http://userserve-ak.last.fm/serve/64s/48713699.png,medium,http://userserve-ak.last.fm/serve/126/48713699.png,large,http://userserve-ak.last.fm/serve/300x300/48713699.png,extralarge,38
Roy Orbison Greatest Hits,32,45986858-3733-412e-8c36-c944f9556a0f,http://www.last.fm/music/Roy+Orbison/Roy+Orbison+Greatest+Hits,Roy Orbison,0bbbc496-c7b5-4b3f-bb6d-bd312827d6e5,http://www.last.fm/music/Roy+Orbison,http://userserve-ak.last.fm/serve/34s/69840374.jpg,small,http://userserve-ak.last.fm/serve/64s/69840374.jpg,medium,http://userserve-ak.last.fm/serve/126/69840374.jpg,large,http://userserve-ak.last.fm/serve/300x300/69840374.jpg,extralarge,39
Piracy Funds Terrorism Volume 1,31,,http://www.last.fm/music/M.I.A.%2FDiplo/Piracy+Funds+Terrorism+Volume+1,M.I.A./Diplo,,http://www.last.fm/music/M.I.A.%2FDiplo,http://userserve-ak.last.fm/serve/34s/96646199.png,small,http://userserve-ak.last.fm/serve/64s/96646199.png,medium,http://userserve-ak.last.fm/serve/126/96646199.png,large,http://userserve-ak.last.fm/serve/300x300/96646199.png,extralarge,40
Electr-o-pura,30,,http://www.last.fm/music/Yo+La+Tengo/Electr-o-pura,Yo La Tengo,2af759f4-4c48-49eb-a512-ae463c40b99a,http://www.last.fm/music/Yo+La+Tengo,http://userserve-ak.last.fm/serve/34s/85839487.jpg,small,http://userserve-ak.last.fm/serve/64s/85839487.jpg,medium,http://userserve-ak.last.fm/serve/126/85839487.jpg,large,http://userserve-ak.last.fm/serve/300x300/85839487.jpg,extralarge,41
The Beatles (White Album) [Disc 2],30,,http://www.last.fm/music/The+Beatles/The+Beatles+(White+Album)+%5BDisc+2%5D,The Beatles,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,http://www.last.fm/music/The+Beatles,http://userserve-ak.last.fm/serve/34s/24968605.jpg,small,http://userserve-ak.last.fm/serve/64s/24968605.jpg,medium,http://userserve-ak.last.fm/serve/126/24968605.jpg,large,http://userserve-ak.last.fm/serve/300x300/24968605.jpg,extralarge,42
Original Pirate Material,29,b989ceea-ade1-4b7b-917d-dee0fdb62f92,http://www.last.fm/music/The+Streets/Original+Pirate+Material,The Streets,6f607087-9c46-4bb2-a884-e4efc764554c,http://www.last.fm/music/The+Streets,http://userserve-ak.last.fm/serve/34s/88453635.png,small,http://userserve-ak.last.fm/serve/64s/88453635.png,medium,http://userserve-ak.last.fm/serve/126/88453635.png,large,http://userserve-ak.last.fm/serve/300x300/88453635.png,extralarge,43
Prose Combat,29,69e5cf67-7cea-4fe8-9129-9779f0a93d69,http://www.last.fm/music/MC+Solaar/Prose+Combat,MC Solaar,bbbd2644-b4cb-4bb5-a442-315310f68a0b,http://www.last.fm/music/MC+Solaar,http://userserve-ak.last.fm/serve/34s/102816885.jpg,small,http://userserve-ak.last.fm/serve/64s/102816885.jpg,medium,http://userserve-ak.last.fm/serve/126/102816885.jpg,large,http://userserve-ak.last.fm/serve/300x300/102816885.jpg,extralarge,44
Live at the Music Hall,29,e39b2ac8-29cf-4fd5-9014-d91287219f11,http://www.last.fm/music/Phosphorescent/Live+at+the+Music+Hall,Phosphorescent,739da2f1-0741-4c60-a6ed-f42d49bf2eb1,http://www.last.fm/music/Phosphorescent,http://userserve-ak.last.fm/serve/34s/102348037.jpg,small,http://userserve-ak.last.fm/serve/64s/102348037.jpg,medium,http://userserve-ak.last.fm/serve/126/102348037.jpg,large,http://userserve-ak.last.fm/serve/300x300/102348037.jpg,extralarge,45
Mixtape About Nothing (Mixed by Nick Catchdubs),28,,http://www.last.fm/music/Wale/Mixtape+About+Nothing+(Mixed+by+Nick+Catchdubs),Wale,e34e41f2-f480-45d3-8190-a3ce5ab34fab,http://www.last.fm/music/Wale,http://userserve-ak.last.fm/serve/34s/39065031.jpg,small,http://userserve-ak.last.fm/serve/64s/39065031.jpg,medium,http://userserve-ak.last.fm/serve/126/39065031.jpg,large,http://userserve-ak.last.fm/serve/300x300/39065031.jpg,extralarge,46
Black Mountain,27,0f3a92c1-271c-4b69-8331-b21ee4532f40,http://www.last.fm/music/Black+Mountain/Black+Mountain,Black Mountain,4898b9ad-f564-4ff1-9046-b1a16dfd5200,http://www.last.fm/music/Black+Mountain,http://userserve-ak.last.fm/serve/34s/99133611.jpg,small,http://userserve-ak.last.fm/serve/64s/99133611.jpg,medium,http://userserve-ak.last.fm/serve/126/99133611.jpg,large,http://userserve-ak.last.fm/serve/300x300/99133611.jpg,extralarge,47
The Suburbs,26,a518162d-aa7f-4bc1-b78f-c0ff7bfc64d4,http://www.last.fm/music/Arcade+Fire/The+Suburbs,Arcade Fire,52074ba6-e495-4ef3-9bb4-0703888a9f68,http://www.last.fm/music/Arcade+Fire,http://userserve-ak.last.fm/serve/34s/50128417.png,small,http://userserve-ak.last.fm/serve/64s/50128417.png,medium,http://userserve-ak.last.fm/serve/126/50128417.png,large,http://userserve-ak.last.fm/serve/300x300/50128417.png,extralarge,48
Led Zeppelin IV (Deluxe Edition),26,,http://www.last.fm/music/Led+Zeppelin/Led+Zeppelin+IV+(Deluxe+Edition),Led Zeppelin,678d88b2-87b0-403b-b63d-5da7465aecc3,http://www.last.fm/music/Led+Zeppelin,http://userserve-ak.last.fm/serve/34s/103731457.jpg,small,http://userserve-ak.last.fm/serve/64s/103731457.jpg,medium,http://userserve-ak.last.fm/serve/126/103731457.jpg,large,http://userserve-ak.last.fm/serve/300x300/103731457.jpg,extralarge,49
Gimme Fiction,25,78d98d52-b1ee-4b68-8893-f742520de5aa,http://www.last.fm/music/Spoon/Gimme+Fiction,Spoon,0db1ad0b-3ac1-4425-b10a-3142e795895c,http://www.last.fm/music/Spoon,http://userserve-ak.last.fm/serve/34s/71321754.png,small,http://userserve-ak.last.fm/serve/64s/71321754.png,medium,http://userserve-ak.last.fm/serve/126/71321754.png,large,http://userserve-ak.last.fm/serve/300x300/71321754.png,extralarge,50
